food_code,food_name,region,energy_kj,protein_g,fat_g,carbohydrates_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,zinc_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,folate_mcg
D050,"French beans, hybrid",2,93,2.12,0.19,2.63,4.18,49.9,0.98,34.98,0.37,45.9,317.0,9.18,1.38,61.98
D051,"Jack fruit, raw",5,110,1.98,0.35,3.48,7.69,45.74,0.31,26.6,0.17,27.78,327.0,3.53,17.51,35.73
D052,"Jack fruit, seed, mature",5,322,5.79,0.44,11.81,8.63,37.56,0.37,37.04,0.29,29.33,376.0,4.0,9.68,54.58
D053,Knol - Khol,6,67,1.58,0.35,1.39,2.75,35.26,0.24,19.05,0.15,40.77,327.0,27.46,64.7,14.76
D054,"Kovai, big",6,73,1.39,0.24,2.01,3.0,34.39,0.38,19.6,0.18,36.9,198.0,1.53,17.62,48.68
D055,"Kovai, small",1,80,1.22,0.24,2.41,3.25,37.12,0.29,18.87,0.13,26.29,167.0,2.2,21.08,50.13
D056,Ladies finger,6,115,2.08,0.22,3.62,4.08,86.12,0.84,66.1,0.45,57.48,263.0,7.37,22.51,63.68
D057,"Mango, green, raw",6,205,0.69,0.08,10.59,3.01,27.0,0.4,17.54,0.09,14.92,147.0,33.15,90.24,25.86
D058,"Onion, stalk",6,107,2.07,0.26,2.99,5.21,31.12,3.09,66.71,0.99,28.53,312.0,15.52,27.23,57.61
D059,"Papaya, raw",6,100,0.5,0.23,4.4,2.28,22.72,0.2,15.03,0.08,24.11,173.0,7.55,20.73,29.79
D060,Parwar,6,101,1.4,0.3,3.54,2.61,30.76,0.5,24.59,0.23,33.81,117.0,2.29,19.24,19.96
D061,"Peas, fresh",6,340,7.25,0.13,11.88,6.32,28.24,1.58,40.11,1.09,55.95,249.0,3.66,38.4,54.77
D062,"Plantain, flower",6,89,1.47,0.63,2.15,5.25,34.06,0.4,39.76,0.42,47.31,488.0,7.51,6.49,49.27
D063,"Plantain, green",6,334,1.18,0.23,17.58,3.6,13.8,0.34,35.64,0.23,31.69,402.0,18.57,23.28,18.96
D064,"Plantain, stem",6,165,0.35,0.16,8.64,2.12,11.24,0.26,32.82,0.14,16.31,373.0,23.17,3.77,12.85
D065,"Pumpkin, green, cylindrical",1,103,0.87,0.18,4.22,2.53,24.1,0.29,13.27,0.14,24.51,186.0,5.21,7.29,31.6
D066,"Pumpkin, orange, round",6,97,0.84,0.16,4.0,2.56,23.06,0.36,10.43,0.11,22.18,253.0,8.81,8.04,24.14
D067,"Red gram, tender, fresh",1,520,8.09,0.92,19.46,5.9,58.58,1.18,56.95,1.1,141.0,616.0,2.54,15.13,94.21
D068,Ridge gourd,6,55,0.91,0.14,1.72,1.81,13.7,0.42,16.15,0.22,33.06,118.0,4.71,5.42,29.26
D069,"Ridge gourd, smooth skin",3,64,0.98,0.13,2.24,1.85,14.96,0.5,17.66,0.26,39.25,125.0,6.27,8.1,27.36
D070,"Snake gourd, long, pale green",6,52,0.98,0.25,1.27,2.27,24.6,0.32,18.7,0.14,23.27,100.0,7.07,2.72,18.34
D071,"Snake gourd, long, dark green",2,50,0.89,0.25,1.23,2.27,27.11,0.47,21.7,0.2,31.03,104.0,5.04,2.85,16.52
D072,"Snake gourd, short",1,61,0.54,0.26,2.15,2.29,17.9,0.2,15.07,0.11,21.33,84.0,2.5,2.3,17.74
D073,"Tinda, tender",6,58,1.02,0.17,1.9,2.0,19.68,0.41,18.96,0.2,30.37,56.18,20.61,14.2,43.23
D074,"Tomato, green",6,87,1.12,0.27,3.18,1.62,8.49,0.42,13.57,0.16,22.5,225.0,13.11,16.41,12.51
D075,"Tomato, ripe, hybrid",6,79,0.76,0.25,3.2,1.58,8.9,0.22,11.86,0.11,15.45,167.0,11.86,25.27,15.41
